Job_name,Company_name,Place,Date,job_type,experience
Support Center Representative,IBM WTC Egypt -,"Cairo, Egypt",20 days ago,Full Time,Full TimeNot specified · Customer Service/Support · IT/Software Development · Sales/Retail · Customer Service · Customer Care · Customer Support · Call Center · English · Sales · Technical Support
Senior Data Modeler,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt",26 days ago,Full Time,Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Modeling · Data Architecture · SQL · Erwin · Data Warehousing · Data Management
iOS Developer,Madar Soft -,"Fleming, Alexandria, Egypt",22 days ago,Full Time,Full TimeWork From HomeExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · RESTful · APIs · Computer Science · Core Data · Core Animation · Information Technology (IT) · iOS · Git
Senior Business Analyst,Confidential -,"Hanoi, Vietnam",23 days ago,Full Time,Full TimePart TimeFreelance / ProjectExperienced · 1 - 3 Yrs of Exp · IT/Software Development · business · Business Analysis · Business Development · Communication skills · Information Technology (IT) · Communication · Data · quality · SQL
AI Engineer,Anspire Agency -,"New Cairo, Cairo, Egypt",23 days ago,Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AI · Machine Learning · Big Data · Computer Science · Development · Engineering
IT Manager,Confidential -,"Nasr City, Cairo, Egypt",26 days ago,Full Time,Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Analysis · Communication · Computer Engineering · Computer Science · Development · Information Technology (IT) · Management
Sr. Architect,People Dynamics -,"Doha, Qatar",27 days ago,Full Time,Full TimeNot specified · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · engineering · computer science · information technology (it) · architecture · design · construction · architectural
Salesforce Analyst,ManpowerGroup Middle East -,"Dubai, United Arab Emirates",27 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Sales/Retail · information technology (it) · computer science · sales · sales skills · salesforce · communication skills · vendor
AI Developer,Bydotpy -,"New Cairo, Cairo, Egypt",28 days ago,Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · AI · Computer Science · Computer Vision · Frameworks · Information Technology (IT) · NLP · Python · Data · Software Development
Data Analyst,Thaka International -,"Badr City, Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Administration · analytical · Business Administration · Information Technology (IT) · Communication skills · business · Computer Science
Earned Value Analyst,Mace Group -,"Riyadh, Saudi Arabia",27 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · sales · analysis · project management · primavera
